district,club_name
3055,Abu Road
3055,Ahmedabad Asmita
3055,Ahmedabad Bopal
3055,Ahmedabad Eleos
3055,Ahmedabad Elysium
3055,Ahmedabad Emerald
3055,Ahmedabad Harmony
3055,Ahmedabad Majestic
3055,Ahmedabad Majesty Stars
3055,Ahmedabad Metro
3055,Ahmedabad Midtown
3055,Ahmedabad NextGen
3055,Ahmedabad Prahladnagar
3055,Ahmedabad Skyline Stars
3055,Ahmedabad Supreme
3055,Ahmedabad Suryoday
3055,Ahmedabad Transcend
3055,Ahmedabad Vasna Young
3055,Ahmedabad West Blind
3055,Ahmedabad Zankar
3055,Ahmedabad Zen
3055,Anjar
3055,Balotra
3055,Barmer Youth
3055,B J Medical College and Civil hospital (Ahmedabad)
3055,Deesa
3055,Deesa Divine Youth
3055,Divine Samarpan
3055,"DNP Arts and Commerce College, Deesa"
3055,Gandhidham
3055,Gandhidham Yuvas
3055,Gandhinagar Gift City
3055,G I T (Gandhinagar Institute of Technology)
3055,GLS Institute of Design
3055,Indus University
3055,Jalore Yuva
3055,Kadi
3055,Kankaria
3055,L.D.C.E.
3055,Midtown Bhuj
3055,Mundra
3055,New L.J.I.E.T.
3055,Palanpur
3055,Palanpur Youth Town
3055,Pandit Deendayal Energy University
3055,Patan
3055,Radhanpur
3055,Sabarmati
3055,Sarvam Ahmedabad
3055,Unjha
3055,Vijapur
3055,Visnagar
3056,Aayojan School of Architecture-Jaipur
3056,Ahan
3056,Aishwarya Udaipur
3056,Aravali Institute of Technical Studies
3056,Bhilwara
3056,Brij Nagar Jhalawar
3056,Bundi Veer Kumbha
3056,Citizen GenZ
3056,Doomshell Academy of Advance Computing
3056,Dudu
3056,Ignite Pali
3056,Jaipur
3056,Jaipur Bapu Nagar
3056,Jaipur Royal
3056,Kota North Gen Z
3056,Manipal University Jaipur
3056,Pali
3056,Rajasthan Dental College
3056,Rising Stars Pali
3056,Shri Mahaveer College
3056,"Swami Keshvanand Institute of Technology, Management and Gramothan"
3056,Udaipur Aishwarya Drishty
3056,Yuva Bhardwaj Foundation
3060,Amreli
3060,Amreli Gir
3060,Anand Round Town
3060,Ankleshwar
3060,Bardoli
3060,Bharuch
3060,Bharuch Next
3060,Bhavnagar Royal
3060,Bhavnagar (Youth)
3060,Charusat University
3060,Daman
3060,Dhule Cross Road
3060,Dhulia
3060,GCET College
3060,Gujarat Institute of Hotel Management
3060,Halvad
3060,Harijyot
3060,Jamnagar
3060,Jamnagar Hope
3060,Jamnagar Smile
3060,Junagadh
3060,Karnabhumi Metro
3060,Mahemdabad
3060,Mahemdabad Femina
3060,Marwadi University
3060,Nadiad Next
3060,NANDNAGARI
3060,Narmada Nagari  (Community Based)
3060,Navapur
3060,Navsari Young Turks
3060,Rajkot
3060,Rajkot Legacy
3060,RNG Patel Institute of Technology
3060,Shindkheda
3060,Surat
3060,Surat Community
3060,Surat Diamond City
3060,Surat East
3060,Surendranagar
3060,Swami Vivekanand Homoeopathic Medical College
3060,Tarsadi Kosamba
3060,TNRAO College
3060,Umbergaom
3060,Vadodara
3060,Vadodara Sayajinagari
3060,Valsad
3060,Vapi
3060,Vapi Phoenix Beacons
3060,Vapi Riverside`
3060,Wadhwan City
3060,Wadhwan Metro
3070,Adampur City
3070,AIMETC
3070,Akhnoor Supreme
3070,Amritsar-Nectar
3070,Amritsar West
3070,Apeejay College of Fine Arts
3070,Arya Girls College Pathankot
3070,Bilaspur
3070,Chief Khalsa Diwan International Nursing College
3070,"CSK Himachal Pradesh Krishi Vishvavidyalaya, Palampur"
3070,Dharamshala Central
3070,Dronacharya College
3070,"Govt. College for Girls, Ludhiana"
3070,Gujranwala Guru Nanak Khalsa College
3070,Hindu College Amritsar
3070,Jammu City
3070,Kanhya Lal Butail Dayanand Anglo Vedic College for Girls (Palampur)
3070,Kapurthala Heritage
3070,"Khalsa College, Amritsar"
3070,Khalsa College for Women Amritsar
3070,"Khalsa College for Women, Ghumar Mandi"
3070,Lovely Professional University
3070,Ludhiana North
3070,Ludhiana Supporter
3070,Mandi
3070,"Medicos RPGMC Tanda, Kangra"
3070,MLSM College Sunder Nagar
3070,Mount Himalayas
3070,Prem Chand Markanda SD College
3070,Pt. Mohan Lal S.D. College
3070,S.S.S.S. College Of Commerce For Women
3070,Sunder Nagar
3070,"Swami Ganga Giri Janta Girls College, Raikot"
3070,Vallabhian
3080,AIMS Mohali
3080,Alaknanda Valley
3080,Amity University Mohali
3080,Arya Kanya Mahavidyalya Shahbad
3080,"Avyanna, Roorkee"
3080,Bajrang Institute Rishikesh
3080,Bhakra Nangal
3080,B S Negi Mahila Pravidhik Prashikshan Sansthan
3080,Chandigarh
3080,Chandigarh College of Architecture
3080,Chandigarh Group of College Jhanjeri
3080,Chandigarh Group of College Landran (Mohali)
3080,Chandigarh Himalayan
3080,Chandigarh Midtown
3080,Chandigarh Shivalik
3080,Chandigarh University
3080,Chandigarh University Central
3080,"College Of Pharmacy, Bela (Ropar)"
3080,"D.A.V. (C) Dental, Yamuna Nagar"
3080,DAV College Ambala City
3080,DAV College for Girls Yamuna Nagar
3080,D.A.V Institute of Physiotherapy & Rehabilitation
3080,"Dev Samaj College for Women, Sector 45, Chandigarh"
3080,Doon Ganga Chidderwala
3080,Doon Shivalik Hills
3080,Global Research Group of Institutions Radaur
3080,Government College Ropar
3080,Government College Sanjauli
3080,"Govt. Dental College, Shimla"
3080,Guru Gobind Singh College for Women
3080,Guru Nanak Girls College
3080,Guru Nanak Institutes (GNITM)
3080,Guru Nanak Khalsa College
3080,Himachal Institute of Dental Sciences (Paonta Sahib)
3080,Himachal Pradesh University of Legal Studies Nyayapath
3080,HPNLU Shimla
3080,Ignite Panchkula Greens
3080,IMS Unison University Dehradun
3080,Indian Institute of Management – Sirmaur
3080,Indira Gandhi National College Ladwa
3080,Jind Institute of Engineering & Technology (JIET)
3080,JMIT Radaur
3080,Kalka Heritage
3080,Karnal
3080,Kurukshetra
3080,Ladwa
3080,Ladwa City
3080,Law College Dehradun U U
3080,Legis Social
3080,Maharaja Agrasen College (Jagadhri North)
3080,Matu Ram College Ladwa
3080,Medserve Rotaract Chandigarh
3080,Mohali City
3080,Narsee Monjee Institute of Management Studies - Chandigarh Campus
3080,Noble Nexus
3080,Open Hands
3080,Panchkula Beautiful
3080,Panipat Institute of Engineering and Technology (PIET)
3080,Panjab University Champions
3080,Pehowa
3080,Positive Abilities
3080,Punjab Engineering College
3080,Rayat College of Law
3080,Rishikesh Queens
3080,Rishikesh Royal
3080,Rishikesh Young Central
3080,Roorkee Waves
3080,Sardar Bhagwan Singh University
3080,S.D. College Ambala Cantt.
3080,S D College Chandigarh
3080,Shimla Midtown
3080,Soaring Monks Chandigarh
3080,Sri Guru Gobind Singh College
3080,TIET
3080,Tricity Social
3080,University College of Business Studies
3080,University Institute of Applied Management Sciences
3080,University Institute of Engineering and Technology
3080,Waknaghat
3080,Yamunanagar
3080,Yamuna Nagar Riviera
3080,Youth Ambala Central
3090,Behbalpur Champions
3090,Bhiwani Vibrant
3090,City Ganga Nagar Royals
3090,"District Institute of Education & Training (DIET), Nabha"
3090,Fatehabad Champions
3090,Ganganagar Youth
3090,"Government Bikram College of Commerce, Patiala"
3090,Hanumangarh
3090,Hanumangarh Pink
3090,Hissar Pioneering
3090,Hissar Star Pioneering
3090,Mansa City Royal
3090,Mansa Star Pioneering
3090,Midtown Patiala
3090,Moga City
3090,Nabha
3090,Nabha Greater
3090,Nabha Vibrant
3090,Patiala Handicraft
3090,Pilibanga Pioneering
3090,Rajpura
3090,Rajpura Greater
3090,Shine-Sunam
3090,Sriganganagar East
3090,Sri Ganganagar Visionaries
3090,Sunam
3090,Sunam Main
3090,Sunam Star
3090,Surendra Dental College
3090,Thapar University
3090,Tibbi Pioneering
3090,Uklana Mandi
3100,Bulandshahar Baran
3100,Bulandshahr Awaaz
3100,Bulandshahr City
3100,Bulandshahr Sewaa Path
3100,Bulandshahr Sitaara
3100,Bulandshahr Youth
3100,Chandausi Optometry
3100,Chandausi Sunrise
3100,Gyanoday Meerut
3100,Hindu College Moradabad Achievers
3100,IFTM University
3100,Jain College
3100,KDM Private ITI
3100,Khurja City
3100,Khurja Shorya
3100,Meerut Mahan
3100,Meerut Udaan
3100,Meerut Umang
3100,Moradabad Achievers
3100,Moradabad Achievers Pride
3100,Moradabad Central
3100,Moradabad ImpactHub
3100,Moradabad Private ITI
3100,Moradabad Samarpan Vibe
3100,Muzaffarnagar Sanyam
3100,Shamli
3100,Shamli Midtown
3100,Vijay Singh Pathik Govt. P.G. College Kairana
3110,Agra
3110,Aligarh Panther
3110,Aligarh Smart City
3110,Aligarh Wisdom
3110,"Ascent College, Unnao"
3110,Avyukta Kanpur
3110,Baans Bareilly
3110,Kanpur
3110,Kanpur Grand
3110,Kanpur North Udaan
3110,Kanpur Star
3110,Kanpur West
3110,Kanpur Youth
3110,Kasganj City
3110,Manu Jhansi
3110,Pilibhit Bansuri
3110,Pilibhit Greater
3110,Puranpur Tiger
3110,Rudrapur
3110,Rudrapur United
3110,SC Guria IMT
3110,Sky Academy
3120,Allahabad Academia
3120,Allahabad Midtown
3120,Allahabad University
3120,Balrampur Greater
3120,Banaras
3120,Barabanki
3120,Chandauli
3120,Chaudhary Mahadeo Prasad College
3120,Chunar
3120,Deoria
3120,Devipatan Tulsipur
3120,EYS Prayagraj
3120,Ghazipur 'Ganga'
3120,Gola Chhoti Kashi
3120,Gola Youth
3120,Gonda Gaurav
3120,Gorakhpur
3120,Gorakhpur Galaxy
3120,Gorakhpur Sunrisers
3120,Gorakhpur Yuva
3120,Gorakpur Warriors
3120,Heritage IMS Varanasi
3120,Inspiring India
3120,Integrated Federation of Social Activist & Doctors
3120,Jaitwara
3120,Jaunpur
3120,Kashi Mridul
3120,Lucknow Phoenix
